2i+α,2j+β,2k+γ,2l+δ,U_{ijkl}^{αβγδ}
1,1,1,1,10.464
1,1,1,2,0.300
1,1,2,1,0.300
1,1,2,2,6.240
1,2,1,1,0.300
1,2,1,2,0.123
1,2,2,1,0.123
1,2,2,2,0.297
2,1,1,1,0.300
2,1,1,2,0.123
2,1,2,1,0.123
2,1,2,2,0.297
2,2,1,1,6.240
2,2,1,2,0.297
2,2,2,1,0.297
2,2,2,2,10.459
1,1,1,3,-0.251
1,1,1,4,0.085
1,1,2,3,0.054
1,2,1,3,-0.019
2,1,1,3,-0.019
2,2,1,3,-0.128
2,2,2,3,0.287
2,2,2,4,0.013
1,1,1,5,-0.034
1,1,2,5,0.043
2,2,1,5,0.027
2,2,2,5,0.073
2,2,2,6,-0.048
1,1,3,1,-0.251
1,1,3,2,0.054
1,1,4,1,0.085
1,2,3,1,-0.019
2,1,3,1,-0.019
2,2,3,1,-0.128
2,2,3,2,0.287
2,2,4,2,0.013
1,1,3,3,4.401
1,1,3,4,-0.011
1,1,4,3,-0.011
1,1,4,4,3.049
1,2,3,3,0.066
1,2,4,4,-0.013
2,1,3,3,0.066
2,1,4,4,-0.013
2,2,3,3,6.246
2,2,3,4,0.067
2,2,4,3,0.067
2,2,4,4,4.380
1,1,3,5,-0.060
2,2,3,5,-0.132
2,2,3,6,0.045
2,2,4,6,0.031
1,1,5,1,-0.034
1,1,5,2,0.043
2,2,5,1,0.027
2,2,5,2,0.073
2,2,6,2,-0.048
1,1,5,3,-0.060
2,2,5,3,-0.132
2,2,6,3,0.045
2,2,6,4,0.031
1,1,5,5,2.263
2,2,5,5,3.054
2,2,6,6,2.269
1,3,1,1,-0.251
1,3,1,2,-0.019
1,3,2,1,-0.019
1,3,2,2,-0.128
1,4,1,1,0.085
2,3,1,1,0.054
2,3,2,2,0.287
2,4,2,2,0.013
1,3,1,3,0.024
2,3,2,3,0.124
2,4,2,4,0.025
1,3,3,1,0.024
2,3,3,2,0.124
